CustomerID,NumPurchases,TotalQuantity,AvgUnitPrice,ActiveDays,CountryCount,Cluster
12346.0,1,74215,1.04,1,1,-1
12347.0,7,2458,2.644010989010989,7,1,0
12348.0,4,2341,5.764838709677419,4,1,0
12349.0,1,631,8.289041095890411,1,1,0
12350.0,1,197,3.841176470588235,1,1,0
12352.0,8,536,15.93070588235294,8,1,0
12353.0,1,20,6.074999999999999,1,1,0
12354.0,1,530,4.5037931034482765,1,1,0
12355.0,1,240,4.203846153846154,1,1,0
12356.0,3,1591,3.201186440677966,3,1,0
12357.0,1,2708,3.3486259541984733,1,1,0
12358.0,2,248,8.27421052631579,2,1,0
12359.0,4,1622,8.620403225806452,4,1,0
12360.0,3,1165,3.5496899224806198,3,1,0
12361.0,1,91,3.335,1,1,0
12362.0,10,2229,3.94093984962406,10,1,0
12363.0,2,408,2.3117391304347827,2,1,0
12364.0,4,1506,1.910235294117647,4,1,0
12365.0,2,174,17.150454545454547,2,1,0
12367.0,1,173,3.2,1,1,0
12370.0,4,2353,2.800299401197605,4,2,1
12371.0,2,591,3.8742857142857146,2,1,0
12372.0,3,794,3.001346153846154,3,1,0
12373.0,1,197,4.582142857142857,1,1,0
12374.0,1,342,4.21969696969697,1,1,0
12375.0,2,178,6.912941176470589,2,1,0
12377.0,2,944,2.718831168831169,2,1,0
12378.0,1,2529,2.9974429223744297,1,1,0
12379.0,2,407,2.86625,2,1,0
12380.0,4,1127,3.378653846153846,4,1,0
12381.0,5,808,4.683218390804598,5,1,0
12383.0,5,1532,3.086969696969697,5,1,0
12384.0,2,126,7.87925925925926,2,1,0
12386.0,2,354,2.391,2,1,0
12388.0,6,1462,2.7777,6,1,0
12390.0,1,353,3.996875,1,1,0
12391.0,1,300,2.4599,1,1,0
12393.0,4,816,2.2796875,4,1,0
12394.0,2,819,3.3707407407407404,2,2,1
12395.0,12,2118,3.9688461538461537,12,1,0
12397.0,2,1263,3.4682539682539684,2,1,0
12398.0,1,1394,1.992705882352941,1,1,0
12399.0,4,1178,2.1145762711864404,4,1,0
12401.0,1,11,9.68,1,1,0
12402.0,1,94,3.290909090909091,1,1,0
12403.0,1,96,7.080000000000001,1,1,0
12405.0,1,857,3.5442592592592597,1,1,0
12406.0,2,1818,2.487047619047619,2,1,0
12407.0,5,1416,3.2674025974025973,5,1,0
12408.0,5,1409,3.0228571428571427,5,1,0
12409.0,3,5551,3.574495412844037,3,1,0
12410.0,2,211,6.335384615384616,2,1,0
12412.0,3,829,2.7137704918032783,3,1,0
12413.0,3,286,4.798421052631579,3,1,0
12414.0,3,300,8.57,3,1,0
12415.0,21,77374,2.9370868347338934,20,1,-1
12417.0,9,1552,5.337916666666666,9,2,1
12418.0,1,407,3.5644117647058824,1,1,0
12420.0,1,345,4.707241379310345,1,1,0
12421.0,4,484,4.520222222222222,4,1,0
12422.0,3,370,3.26025641025641,3,2,1
12423.0,8,1339,2.9135999999999997,8,1,0
12424.0,2,740,2.780666666666667,1,1,0
12425.0,1,496,2.5644444444444443,1,1,0
12426.0,1,258,3.9363333333333332,1,1,0
12427.0,3,533,4.589032258064516,3,1,0
12428.0,9,3536,4.627414965986395,9,1,0
12429.0,4,1557,3.6307216494845362,4,2,1
12430.0,1,117,6.225454545454546,1,1,0
12431.0,15,2906,3.785063829787234,15,2,1
12432.0,5,1801,10.550833333333333,5,1,0
12433.0,7,11071,2.1927380952380955,7,1,0
12434.0,2,394,3.6726,2,1,0
12435.0,2,2055,5.479166666666667,2,1,0
12436.0,1,211,5.2675,1,1,0
12437.0,18,2922,4.0125628140703515,18,1,0
12438.0,2,1180,3.894897959183673,2,1,0
12441.0,1,121,3.700909090909091,1,1,0
12442.0,1,182,3.34,1,1,0
12444.0,5,1153,6.3586931818181816,5,1,0
12445.0,1,62,7.9875,1,1,0
12446.0,1,351,4.352631578947368,1,1,0
12447.0,1,190,3.5742307692307693,1,1,0
12448.0,1,243,5.951818181818182,1,1,0
12449.0,4,1553,3.694712041884817,4,1,0
12450.0,2,128,1.6175,2,1,0
12451.0,5,6575,2.450084745762712,5,1,0
12452.0,2,185,4.485,2,1,0
12453.0,1,473,2.393255813953488,1,1,0
12454.0,1,1006,7.282,1,1,0
12455.0,6,2089,3.173333333333334,6,2,1
12456.0,3,1633,3.62456,3,1,0
12457.0,7,843,5.357096774193548,7,2,1
12458.0,2,506,4.326315789473685,2,1,0
12461.0,2,287,4.258857142857143,2,1,0
12462.0,2,536,4.689516129032258,2,1,0
12463.0,4,776,3.0434939759036146,4,1,0
12464.0,8,112,11.832758620689654,8,1,0
12465.0,2,479,2.76,2,1,0
12468.0,2,366,3.5149999999999997,2,1,0
12471.0,30,8212,4.300369565217392,30,1,0
12472.0,7,4148,2.397669616519174,7,1,0
12473.0,5,2439,8.323928571428572,5,1,0
12474.0,18,4847,2.8656603773584903,18,1,0
12475.0,1,535,2.941111111111111,1,1,0
12476.0,11,2408,4.831030042918456,11,1,0
12477.0,6,3653,4.3832,6,1,0
12478.0,1,236,4.537777777777778,1,1,0
12479.0,1,385,2.6687096774193546,1,1,0
12480.0,4,1707,3.1344155844155845,4,1,0
12481.0,10,3304,3.4149769585253456,10,1,0
12483.0,8,1110,5.198133333333334,8,1,0
12484.0,6,2191,3.126098265895954,6,1,0
12488.0,3,529,3.7347272727272727,3,1,0
12489.0,1,105,5.908,1,1,0
12490.0,10,3064,2.692857142857143,10,1,0
12491.0,1,260,3.376923076923077,1,1,0
12492.0,2,192,3.3475,2,1,0
12493.0,2,207,4.309090909090909,2,1,0
12494.0,7,707,3.862207792207792,7,1,0
12497.0,1,1236,2.06,1,1,0
12498.0,3,159,4.197826086956522,3,1,0
12500.0,11,2678,5.63688524590164,11,1,0
12501.0,1,1783,2.4126845637583894,1,1,0
12502.0,5,820,6.425238095238095,5,1,0
12504.0,2,90,9.011111111111111,2,1,0
12506.0,1,23,3.1956521739130435,1,1,0
12507.0,3,894,4.862857142857143,3,1,0
12508.0,2,272,1.7204347826086959,2,1,0
12509.0,1,55,5.564285714285715,1,1,0
12510.0,2,353,4.263333333333334,2,1,0
12512.0,2,99,2.5794117647058825,2,1,0
12513.0,1,462,2.180571428571428,1,1,0
12514.0,1,440,3.296862745098039,1,1,0
12515.0,1,131,6.78125,1,1,0
12516.0,2,875,2.725769230769231,2,1,0
12517.0,5,1371,2.3527464788732395,5,1,0
12518.0,5,1318,2.837177419354839,5,1,0
12519.0,1,183,2.9911111111111115,1,1,0
12520.0,5,1439,3.288421052631579,5,1,0
12521.0,1,309,2.995789473684211,1,1,0
12522.0,2,194,5.0008333333333335,2,1,0
12523.0,11,865,4.935471698113207,11,1,0
12524.0,8,3699,2.9170833333333333,8,1,0
12526.0,3,632,3.3538028169014087,3,1,0
12527.0,3,234,2.9294444444444445,3,1,0
12528.0,6,756,5.487934782608695,6,1,0
12530.0,4,913,3.8854545454545453,4,1,0
12531.0,1,45,3.8094117647058825,1,1,0
12532.0,1,153,3.698125,1,1,0
12534.0,1,651,3.035396825396825,1,1,0
12535.0,2,219,4.451470588235294,2,1,0
12536.0,3,2803,34.75452107279693,3,1,0
12538.0,1,191,3.6433333333333335,1,1,0
12539.0,4,2067,4.176520146520147,4,1,0
12540.0,17,6685,3.847050209205021,17,1,0
12541.0,3,680,3.615769230769231,3,1,0
12544.0,1,136,4.106315789473685,1,1,0
12545.0,2,523,4.0238,2,1,0
12546.0,2,633,3.199275362318841,2,1,0
12547.0,2,134,7.95,2,1,0
12548.0,1,49,6.720000000000001,1,1,0
12550.0,1,569,3.0903508771929826,1,1,0
12551.0,1,100,1.6800000000000002,1,1,0
12552.0,2,88,9.1155,2,1,0
12553.0,10,1965,3.1996335078534033,10,1,0
12556.0,2,358,2.6623140495867768,2,1,0
